Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL46,OUT049,2330.2900208909914
FDM20,OUT045,3885.910270019878
NCI06,OUT010,1258.0440127790243
DRM11,OUT035,3648.3666897412513
NCH07,OUT018,2862.997464670556
FDS23,OUT013,1649.1583661113004
FDO49,OUT018,1271.6948126848602
FDS35,OUT049,1299.675211845658
DRK39,OUT045,1311.3287165888623
DRI39,OUT049,1221.0026936764607
FDV04,OUT017,2084.9457991841273
NCN14,OUT035,2419.070378982014
FDH08,OUT013,3432.264055212151
FDS20,OUT046,2828.016659334544
FDV40,OUT049,1613.6317638929258
FDZ48,OUT010,84.6588617607772
FDS24,OUT027,2824.3733185502624
FDK44,OUT049,2997.3157387931124
FDS48,OUT045,2442.890436071987
FDK26,OUT010,1423.4602066980688
FDD23,OUT045,3020.4075882548586
NCH54,OUT017,2230.129219338144
NCP14,OUT010,0.0
FDM60,OUT010,0.0
FDV24,OUT017,2008.0960900688578
FDH08,OUT018,4070.9463974422897
FDS12,OUT027,3246.3357699145217
FDR39,OUT027,4225.092564976078
FDP12,OUT027,2053.4606660824015
DRF60,OUT027,5152.677293376069
FDC09,OUT035,1301.5453923641853
FDF50,OUT018,3441.3853458566655
FDG28,OUT035,3465.291592978241
NCE19,OUT017,542.8612649562583
NCM53,OUT010,121.2963372216118
NCN18,OUT049,2192.0677038421727
FDF32,OUT035,2708.145912314146
FDF11,OUT013,3612.0349360867285
DRI59,OUT049,3914.14374772288
NCG54,OUT035,2227.8227005959707
FDM44,OUT046,1590.9757984156731
FDT57,OUT018,4196.933115739899
FDV24,OUT046,2245.356392813158
FDI50,OUT019,2429.2479793550697
FDS09,OUT035,420.0100847884878
NCC31,OUT027,3912.617682307964
FDQ07,OUT019,2145.509202529392
FDC22,OUT017,2647.956371068457
FDZ56,OUT046,2659.432516911259
FDZ40,OUT019,0.0
FDS46,OUT027,3347.7934582562284
DRD24,OUT045,2265.450328685177
FDV45,OUT017,2712.386511578229
FDL26,OUT045,2421.4101343359307
FDA56,OUT018,2435.034510504188
FDN27,OUT046,1849.7052496108254
FDM20,OUT049,4223.677826967334
FDO16,OUT017,1082.3964444009835
FDL03,OUT035,2756.683306824697
FDE58,OUT046,1816.8861276288267
FDI02,OUT027,3136.061306461419
NCC55,OUT019,0.0
FDR03,OUT018,3768.472978063023
FDB14,OUT017,1141.04513528622
FDR45,OUT013,3578.987827012872
NCN07,OUT017,1803.280820960198
FDM51,OUT019,492.8060179793297
FDT52,OUT027,5310.06083067231
FDL26,OUT046,2350.621797699472
NCZ42,OUT046,3768.3893714682217
DRI47,OUT019,1145.0005057908852
FDW40,OUT013,1929.9930426883702
FDN34,OUT046,2743.049904892746
FDS01,OUT035,2452.2334317284062
NCG55,OUT045,1861.7167378433714
FDC11,OUT035,868.501185974219
FDX35,OUT018,3962.220953691919
NCB06,OUT046,2437.3594825240198
FDR09,OUT019,2784.6467532198985
FDC53,OUT017,1314.8939145116515
FDY45,OUT013,3848.290157445791
FDA22,OUT010,988.9562818520881
FDE02,OUT035,998.6300252370161
FDW21,OUT045,1708.66722110114
FDV34,OUT046,1230.2926789813873
FDS59,OUT049,2123.82641176055
NCW17,OUT017,1787.1707983043962
NCK54,OUT046,1842.4495717642753
FDG17,OUT019,2675.440129020488
FDG35,OUT017,2571.656517453136
FDD08,OUT010,0.0
NCO07,OUT017,3102.047803694113
FDJ10,OUT010,494.6438333560436
FDW36,OUT017,1343.820403783829
FDW21,OUT010,178.4084167175106
FDY19,OUT017,1598.566264393513
DRE03,OUT013,553.3634248844205
NCC55,OUT049,960.561307807091
FDH52,OUT010,0.0
FDO09,OUT017,3802.9983509309222
FDU43,OUT045,3788.7680153938445
FDX09,OUT010,1134.4453337873201
FDH40,OUT019,46.177651293619874
FDW58,OUT017,1449.438729942346
FDC47,OUT017,3195.9571631933695
NCR41,OUT035,1150.1415706072253
DRG49,OUT035,3430.0895528885203
FDC52,OUT027,3923.7614546456552
FDY13,OUT046,1167.3585533292626
FDY35,OUT013,544.3545409378903
FDI35,OUT017,2606.156931972141
NCU18,OUT049,2585.628702602061
FDY33,OUT018,2898.8462468764656
FDC15,OUT027,3714.927758927887
FDU01,OUT049,3402.856150962105
NCU42,OUT046,2672.6162502549496
NCV29,OUT018,3266.563331141295
NCY30,OUT017,2637.9618575038603
FDQ46,OUT049,2060.1418436644867
FDG58,OUT027,3842.2287771540014
FDK33,OUT017,3142.0244815560272
NCD07,OUT045,1825.0243018767815
NCX29,OUT027,3646.7594899067317
NCT42,OUT013,2130.1006528355742
DRN59,OUT035,324.176546366557
FDI44,OUT035,784.3540435431942
FDA45,OUT049,3021.037952516458
FDP31,OUT045,921.3535783526545
FDY01,OUT046,1623.0462511701962
FDT09,OUT018,2628.2904172214776
DRH03,OUT027,3005.4617318662386
FDA36,OUT018,3422.6386968300585
NCF31,OUT017,2133.7629393453517
FDG14,OUT049,2773.442555604008
FDG28,OUT027,5318.197051978363
FDU14,OUT049,4309.636215568425
FDY47,OUT019,852.1244207464811
FDI56,OUT049,1726.852551244774
DRD01,OUT013,690.3738899996379
FDM22,OUT046,957.8221521509086
FDH33,OUT013,339.56667605105713
DRZ24,OUT013,1589.4168328225455
NCQ38,OUT046,1684.5753635459228
FDO16,OUT027,2813.9921008160927
FDU07,OUT027,3764.9137651224646
NCB07,OUT013,2777.489374206534
FDU48,OUT045,2073.7976214611344
NCM43,OUT045,2656.9257451699386
FDR31,OUT010,720.9877500779244
DRK49,OUT018,1129.5590390631355
NCI30,OUT010,2236.752658639214
DRD60,OUT017,2603.5602434042567
NCG19,OUT046,3510.379195547168
FDH12,OUT035,1201.3902141399653
FDM32,OUT035,1104.2042957540602
FDM27,OUT035,1937.317168401648
NCU53,OUT027,4115.087393999631
NCQ18,OUT046,1401.9897983859269
FDS10,OUT013,2608.868314260155
FDB33,OUT027,3963.267009167461
FDI12,OUT013,1066.3147392357287
NCW42,OUT013,3225.5660170694828
NCC06,OUT018,2500.361602799476
FDW02,OUT017,1751.4932596568033
NCD43,OUT017,1421.9872150982765
FDM57,OUT018,1752.777005099877
FDA58,OUT017,3366.9761509088203
FDK56,OUT046,2747.4261641219427
FDP52,OUT045,3747.061871457261
FDW20,OUT018,2428.7495385663688
FDS52,OUT049,2014.3904486090655
NCT29,OUT018,2301.579833493711
NCL54,OUT013,2486.8058676070755
FDC05,OUT045,3081.964604366284
FDF34,OUT035,2795.8747421932358
FDP03,OUT027,3417.2883659884938
FDD32,OUT010,0.0
FDZ10,OUT045,2104.4794393701113
FDZ40,OUT035,479.96621170913295
FDD51,OUT018,1025.9366411843553
NCY30,OUT019,1660.9065039079824
FDP58,OUT017,3022.491437245045
FDV49,OUT017,3896.6242651983894
FDY24,OUT019,0.0
NCO55,OUT017,1357.1145963775962
FDR13,OUT017,1622.724367968366
FDS51,OUT017,742.1528162010554
FDP26,OUT045,1519.991202620884
NCB54,OUT027,3469.6788853540147
FDF32,OUT017,2792.992108921927
FDN31,OUT018,3368.7567924560926
DRM48,OUT017,223.31479447863512
FDN20,OUT049,3061.164642257505
DRL01,OUT046,3746.4888765616797
FDV56,OUT049,2148.0358693564162
DRH13,OUT027,3186.1450183549605
FDA03,OUT017,2056.476029842337
FDF47,OUT027,4888.061251434483
FDX32,OUT046,2224.475015682533
FDX57,OUT049,1939.896666934244
NCA30,OUT045,2886.634303844864
FDO49,OUT013,600.3542981581195
FDL04,OUT019,267.37474533408385
DRM48,OUT035,126.38071952403925
FDR16,OUT013,3037.577772575266
NCC19,OUT018,3387.856816207611
NCE42,OUT045,3768.9317419827767
FDY24,OUT017,491.729045825889
FDH19,OUT049,3157.673299276419
FDJ46,OUT013,2502.2236196571066
FDN45,OUT010,1779.7169305510788
FDY08,OUT035,1657.8185903675953
FDZ37,OUT035,1049.254786547243
NCT30,OUT045,720.9995239308923
DRY23,OUT018,1062.9352094249348
NCZ30,OUT018,2387.1970086331075
FDC44,OUT018,2036.7565116871328
FDB45,OUT035,1306.5096746108193
FDY04,OUT013,2370.475292163629
FDM27,OUT046,2576.1131337479756
FDZ43,OUT017,3527.9832805266997
FDT39,OUT019,1291.0782186345582
NCC06,OUT019,833.8564247694662
FDL15,OUT027,3859.6385746718315
FDL57,OUT017,3781.0296761689615
FDU08,OUT046,1552.6634021886161
FDK40,OUT017,3902.1900270803153
FDQ12,OUT010,2036.880020645939
FDS48,OUT017,2125.8725047889866
FDP09,OUT045,3375.3281141035277
FDW21,OUT049,2037.047124261272
FDY25,OUT035,2469.4731893411576
DRE13,OUT017,1121.1712274150755
FDV43,OUT019,0.0
FDD22,OUT045,1706.2741221308197
FDM46,OUT019,0.0
NCO30,OUT010,1412.9003803372898
FDM25,OUT046,2703.3134714416965
NCN41,OUT049,2300.8044384752698
FDU24,OUT045,1368.2994539284045
FDZ50,OUT046,2833.486609120817
FDP45,OUT013,3778.192605227194
NCM54,OUT045,1999.5197844260665
FDW10,OUT019,1482.9635151129755
FDP20,OUT017,1747.0926384888317
FDK32,OUT046,2375.50365707119
FDN52,OUT049,1660.2738210903226
FDM58,OUT045,1883.6030088745456
FDZ46,OUT027,3161.220082557071
NCA18,OUT018,2272.849929599348
FDD35,OUT046,1932.42351087424
NCK31,OUT035,436.7583350004238
FDI40,OUT027,2939.996887828349
FDT50,OUT019,193.93468002032432
NCT06,OUT046,2572.760733890098
FDT31,OUT035,2616.82881888696
FDT45,OUT049,1212.430383060424
FDT13,OUT045,2991.0111753526535
FDO50,OUT045,1401.1026329141569
NCU18,OUT010,620.3657099069819
NCR54,OUT049,3370.9618028305485
NCO18,OUT018,3275.540623054455
FDU09,OUT045,922.6815572855012
FDT13,OUT018,3422.2846330063685
FDE09,OUT046,1773.4838879820354
NCK53,OUT019,403.9277259264968
FDG45,OUT049,3787.118701675785
DRH15,OUT035,234.09003734937414
FDO21,OUT019,2440.659243433744
FDD14,OUT027,4142.287963215658
FDC09,OUT046,1656.136240990401
FDH45,OUT027,2078.142140910389
FDV32,OUT046,932.9263409460286
FDG12,OUT035,1573.9063498056898
FDS32,OUT013,2032.707135627641
NCL55,OUT018,4355.560922763245
DRE01,OUT035,3261.2204816095445
DRE15,OUT049,1633.4534914010897
NCL42,OUT045,3902.2017225285026
FDP31,OUT013,645.9033521788851
FDN33,OUT018,1842.9712164851153
FDZ59,OUT046,2491.622077033344
FDE45,OUT010,1241.577218203845
FDJ07,OUT013,1683.8882668126957
FDQ45,OUT018,3433.964423480882
FDM33,OUT027,4825.993542497226
FDO15,OUT010,0.0
FDM46,OUT013,1063.1037118691934
FDR03,OUT045,3341.8510527556973
FDY49,OUT018,3137.8335440351784
FDQ60,OUT045,1813.2832867601664
FDW10,OUT049,3221.910088138896
FDO51,OUT049,1129.9941750342864
FDJ40,OUT018,2184.5268256706013
FDS20,OUT018,3287.8896987319213
FDU45,OUT013,1600.3808853018227
FDV02,OUT035,2250.871396637378
FDN09,OUT046,3795.2605098198783
NCM55,OUT027,4345.456244413697
FDN23,OUT018,2694.9674628077873
FDY31,OUT010,710.7953179177816
FDW03,OUT010,197.42341035118852
FDD14,OUT046,2660.6794729443754
FDV23,OUT017,1608.5635352872196
DRI03,OUT045,2806.504832865254
FDN13,OUT035,1017.1435333588074
FDF45,OUT027,2477.2127797241033
FDU46,OUT035,1092.2485192089916
FDB57,OUT049,3940.9695517575037
FDV12,OUT049,2041.0191540027645
FDQ58,OUT013,2196.909159499452
NCA18,OUT017,1543.3609607847193
FDH52,OUT049,1448.9150542354955
FDM24,OUT018,2773.246686678972
NCP43,OUT027,4313.793946407895
NCO18,OUT019,1615.863553004992
FDM32,OUT017,1212.8821097782939
NCL07,OUT017,368.16916340514854
FDK03,OUT013,3725.6064976398284
FDP59,OUT017,1357.9083656443318
FDQ24,OUT049,4363.7672159261765
FDQ16,OUT018,2176.337146156784
FDU44,OUT013,2305.749270809518
FDH28,OUT010,0.0
FDV28,OUT019,0.0
FDM22,OUT045,926.0008617686544
FDR56,OUT046,2998.1393295003027
FDV39,OUT049,3525.072967036079
FDU37,OUT019,0.0
FDQ11,OUT010,2587.491735276072
FDX02,OUT045,3502.348987707187
NCS42,OUT018,1868.3146974737738
FDY57,OUT027,2865.2138720188395
FDB21,OUT049,4007.9413354049884
FDE28,OUT017,3235.480905473124
FDQ55,OUT017,1600.4199269365809
FDA48,OUT049,3751.3088055905146
FDZ19,OUT045,2678.049130285076
NCC43,OUT045,3901.7740642012814
NCV18,OUT046,1173.9422538408558
NCA42,OUT018,2967.4954782610976
FDY45,OUT046,4027.792511304353
NCC30,OUT045,2856.8481486145683
FDM57,OUT013,1116.0903804245982
FDL09,OUT010,887.0004984068232
FDB09,OUT027,3389.5171494933056
FDT44,OUT035,1400.472012977932
NCT06,OUT027,4034.729348303523
FDX26,OUT049,3185.2489744659097
FDK32,OUT013,2204.7629652793
DRA12,OUT046,2237.479299836904
FDO46,OUT010,1500.7159824033856
FDE52,OUT013,1192.08756558716
NCH42,OUT045,3640.3900655932175
FDV08,OUT035,310.3998987276659
FDB47,OUT018,3717.345535074822
FDC28,OUT010,143.52209721295412
FDD22,OUT046,1690.1914131155368
FDS07,OUT027,3174.5098668173887
DRI13,OUT045,3473.2341905259145
FDG32,OUT018,3743.9712046141967
FDU14,OUT017,3668.9748936605
FDD28,OUT019,0.0
NCP41,OUT017,1505.3792927297363
FDS08,OUT049,3101.1565800002345
FDX47,OUT045,2532.018417219372
FDC53,OUT019,468.51108537732443
FDQ19,OUT035,3474.7315528605604
FDL14,OUT045,2500.0141447001324
FDM33,OUT019,2154.377537938078
FDA51,OUT045,1651.1350661580946
FDZ27,OUT018,1254.39869392634
FDT04,OUT046,537.2059796786234
DRC13,OUT049,2404.353779790892
FDR16,OUT027,4752.218815771032
FDQ03,OUT027,5136.3649611187375
FDE38,OUT035,2245.49994833959
DRH23,OUT027,2163.560059153835
FDT11,OUT019,1803.3904130345018
FDD09,OUT035,2474.35581366289
FDR40,OUT045,1413.360269258509
FDX07,OUT017,2682.7374571742685
FDR07,OUT035,1100.4628368738772
FDA51,OUT017,1380.2974013886223
FDT59,OUT019,2467.8762067514294
FDF20,OUT017,2812.4189069544263
FDR13,OUT045,1880.327700224624
FDY26,OUT049,3727.9094122094675
FDW04,OUT017,1785.966737171605
FDK52,OUT017,3239.2731173875154
FDN60,OUT049,2759.688786412612
FDM09,OUT019,1408.7754452129516
FDP46,OUT049,1729.3640004780527
FDB50,OUT019,0.0
NCQ29,OUT049,4341.194919469805
FDP16,OUT027,5295.597448045064
FDX33,OUT018,2906.767608410353
FDP07,OUT010,1612.7898629815236
FDN22,OUT046,3813.7249908280664
FDF39,OUT049,4577.242615512233
FDS21,OUT017,781.3033873472455
NCM42,OUT013,1483.084329251887
FDK50,OUT019,1396.7489360719596
DRF13,OUT027,3789.366955269119
FDH35,OUT018,3012.0304338480973
FDP60,OUT018,1988.6461857395361
DRJ49,OUT027,3551.171940965378
NCT42,OUT019,1176.0275973929033
FDE38,OUT049,3002.4909232180835
FDI04,OUT049,3483.13317394155
NCH54,OUT045,2459.8821647495715
FDT56,OUT049,1238.8524171402646
DRD15,OUT018,4066.0858709356335
FDV58,OUT013,2892.064635794539
FDP21,OUT049,3383.0833175455964
FDH05,OUT013,3383.4944478792668
FDR10,OUT027,4043.4515131571716
NCP06,OUT045,2381.6994978596776
FDF33,OUT049,2096.2607539472283
DRK37,OUT013,2803.4918759236907
DRH49,OUT045,1435.2114096208506
FDT58,OUT013,2345.2233421248043
FDD41,OUT018,2055.076258925913
FDP40,OUT018,2227.4285498128093
FDM51,OUT027,3115.3876574244277
FDO45,OUT010,0.0
FDW33,OUT010,0.0
FDY24,OUT045,968.5592001003783
FDB10,OUT010,2108.326535129383
FDM40,OUT035,1667.448459143623
NCI06,OUT017,2569.594777599692
FDW12,OUT019,1094.962440591477
FDX48,OUT027,3910.9426372159833
NCW05,OUT027,2975.403253069282
FDX27,OUT017,1162.2151624172748
DRM37,OUT045,3065.957722006103
FDA38,OUT045,3829.4752550757203
FDR36,OUT046,518.3577203503351
FDZ45,OUT046,3066.478929085677
FDG05,OUT017,2189.816369076303
FDK28,OUT013,3785.1508415467397
FDV47,OUT045,1352.4219797318788
FDN21,OUT045,2504.868241109527
FDP20,OUT027,3443.0854236731484
FDI35,OUT045,2891.9219338409594
DRY23,OUT013,410.889250824167
FDA56,OUT017,1719.7054342920856
FDB09,OUT013,1692.3122593472422
NCO26,OUT027,3244.814539155387
FDQ49,OUT018,2943.4577368509217
FDI52,OUT027,3278.2876163085502
FDZ44,OUT027,3300.4157656022035
FDZ09,OUT018,2945.2701081243085
FDY03,OUT049,2150.8939408478336
NCG42,OUT017,1788.1396963390407
DRI13,OUT027,4913.281697913544
FDQ32,OUT013,1780.3055461871154
FDW16,OUT035,1092.016640302466
FDU27,OUT046,571.8728760753138
FDR28,OUT010,1069.229990907928
FDQ49,OUT010,960.9906120865039
FDS37,OUT046,1812.3665409103687
FDW26,OUT018,3836.0998295471773
FDX12,OUT018,4278.388801420031
NCP06,OUT013,2152.53920536937
FDW45,OUT010,740.1836072103242
NCN30,OUT049,1913.3986613044772
FDN24,OUT049,1107.642941179924
NCL41,OUT027,1977.2554931427526
FDR02,OUT019,571.5145561918716
FDD09,OUT010,1330.8425838494304
FDS33,OUT010,0.0
FDU22,OUT045,1837.658550156154
FDI53,OUT013,2213.204713079714
DRH01,OUT049,3070.141397305164
FDX32,OUT013,1967.960594264494
NCP30,OUT018,1105.0675074036158
FDB60,OUT045,3108.022562424646
FDB14,OUT049,1796.1758657062173
NCP02,OUT035,538.937845376955
FDJ10,OUT017,1853.2444464188911
FDG34,OUT046,1826.0232146934259
NCB18,OUT017,1131.6421241364746
FDM16,OUT049,1598.4448103582713
FDW25,OUT018,1775.0627971601098
FDB35,OUT010,0.0
DRN11,OUT013,1842.8802005784064
FDF41,OUT019,2449.8628897725926
FDH16,OUT045,1397.6785428968951
NCQ50,OUT018,3797.818101990758
DRH23,OUT018,1164.9225581728024
DRJ37,OUT013,2144.5733857255773
DRJ24,OUT027,4253.697144656561
FDY16,OUT035,2457.9584898622047
FDQ27,OUT045,1714.7184720561245
FDZ33,OUT045,2267.044135900883
FDF29,OUT045,2157.5863681803858
FDA08,OUT049,2965.5754110607177
FDG31,OUT046,1079.459198451193
FDE34,OUT019,1798.1599301133779
NCR30,OUT027,2573.4067908129655
FDV33,OUT035,3730.94201677605
DRZ24,OUT018,2416.2608420092793
NCL54,OUT035,2285.7616452704833
FDR12,OUT049,3134.8207687607437
NCC54,OUT046,3686.424924418806
DRN59,OUT013,574.1019699631788
FDX50,OUT019,443.8870698093374
FDV31,OUT027,4149.642404465612
NCA29,OUT027,4185.745783448174
FDW60,OUT049,3214.612074849536
FDX08,OUT017,2629.1349606039576
DRD49,OUT013,3302.126641417979
FDD33,OUT046,3501.8139786695683
FDW35,OUT013,486.33423050772944
FDJ36,OUT017,1255.078147411306
FDV51,OUT035,2254.960402373253
FDW36,OUT046,1619.7001080878103
FDH35,OUT046,2560.000309091458
NCS30,OUT027,3432.7361161843146
FDN49,OUT017,254.00308656609832
FDL08,OUT018,4291.426273515155
FDI09,OUT013,3452.369578603284
FDP19,OUT018,2283.63597433026
FDU21,OUT010,0.0
NCP41,OUT045,1761.353032626881
FDY10,OUT013,1548.1701564093232
FDP12,OUT018,1049.6610653148582
NCN26,OUT049,2229.3434672633716
FDK44,OUT013,2393.231556806717
FDC28,OUT049,2076.7007272017377
FDJ41,OUT027,5600.028511844339
NCT29,OUT035,1532.4501777386909
NCH42,OUT019,2395.0316290928863
FDU60,OUT018,3072.9241542476893
FDS02,OUT045,2926.181815183325
FDC51,OUT046,1993.7123135773845
FDU03,OUT013,2607.517649970737
FDX39,OUT045,3372.614959248086
NCY05,OUT010,0.0
NCL06,OUT027,5477.899848525047
FDD32,OUT035,987.925159944678
NCN41,OUT045,1942.738184342974
NCX53,OUT049,2649.458257912759
FDU57,OUT019,1070.1613237746947
FDQ23,OUT046,1631.3063606504875
FDQ52,OUT045,3808.4117775464483
FDC14,OUT045,699.1079321495813
FDY09,OUT035,2432.642879654786
FDQ28,OUT045,2486.577990180107
FDV25,OUT046,3427.4905196205527
FDJ07,OUT035,1496.9569650627159
DRB25,OUT049,2023.7299429611871
FDK52,OUT019,2230.953336231589
FDY52,OUT027,2498.5347825081017
FDB28,OUT046,2997.1014034099107
FDT36,OUT035,85.2546536474174
FDV25,OUT017,3206.3318513376034
NCN07,OUT027,3516.8590663235154
FDC57,OUT017,2789.9399183014093
FDQ03,OUT018,4145.3762386646185
FDU23,OUT017,2383.9632768138035
NCX41,OUT035,2995.911618621759
NCD06,OUT035,282.1092936390155
FDW08,OUT045,1541.7894758373895
NCU29,OUT017,2041.3775329540913
NCE06,OUT013,2227.0469463512345
FDV52,OUT010,128.37801853366454
FDB02,OUT017,2560.002872955253
NCR18,OUT045,745.4424715105574
FDK16,OUT049,1930.2930726422092
NCQ29,OUT010,2334.357826198595
FDZ01,OUT019,544.6048834270528
FDW27,OUT035,1959.2945641422602
FDD17,OUT018,4188.534428213513
FDW39,OUT013,2591.16191095046
DRH59,OUT045,1150.3367953330658
FDS52,OUT013,1428.611548936381
FDU40,OUT027,4515.308403674924
NCF54,OUT013,2496.81678814834
FDH46,OUT045,1688.6105138095245
NCP14,OUT049,1909.7305645045467
FDH50,OUT049,3382.187545939618
DRF15,OUT010,873.8409176459177
FDV27,OUT027,2871.159389127033
NCJ06,OUT049,2288.521215542526
FDN02,OUT018,3619.6098121152027
FDQ51,OUT049,1192.254382605147
FDQ07,OUT017,3196.015288946978
FDS45,OUT049,2097.321205372164
NCJ06,OUT045,1947.6351743800296
FDD36,OUT035,1490.239705816251
FDY25,OUT045,2894.9709013403826
FDU52,OUT046,2372.500060967723
DRK47,OUT017,3264.6840725409365
NCL30,OUT017,1752.35140767552
FDN22,OUT035,3470.091126948004
NCF30,OUT027,3309.222063270867
FDK03,OUT035,3619.7730457423922
FDT45,OUT017,601.2817257149395
NCC54,OUT027,5120.4434332956935
FDP08,OUT018,3443.6884759744316
FDU44,OUT046,2548.269808398416
DRG39,OUT035,460.3481712676521
FDU32,OUT049,2320.646912872447
